qnn-profile-viewer version, v2.8.0.230223123141_52150
qnn-net-run version, v2.8.0.230223123141_52150
Backend version, v2.8.0.230223123141_52150
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
30928853226,INIT,98436,US,NETRUN,ROOT,null
30928944059,COMPOSE GRAPHS,87705,US,NETRUN,ROOT,null
30928957025,FINALIZE,10683,US,NETRUN,ROOT,null
30928957025,FINALIZE,1410,US,BACKEND,ROOT,RPC (finalize) time
30928957025,FINALIZE,1264,US,BACKEND,ROOT,QNN accelerator (finalize) time
30928957025,FINALIZE,1056,US,BACKEND,ROOT,Accelerator (finalize) time
30928957025,FINALIZE,10678,US,BACKEND,ROOT,QNN (finalize) time
30928999035,DE-INIT,4041,US,NETRUN,ROOT,null
30928999035,DE-INIT,1223,US,BACKEND,ROOT,RPC (deinit) time
30928999035,DE-INIT,1117,US,BACKEND,ROOT,QNN Accelerator (deinit) time
30928999035,DE-INIT,1093,US,BACKEND,ROOT,Accelerator (deinit) time
30928999035,DE-INIT,4037,US,BACKEND,ROOT,QNN (deinit) time
30928965178,EXECUTE,3056,US,NETRUN,ROOT,null
30928965178,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
30928965178,EXECUTE,2688,US,BACKEND,ROOT,RPC (execute) time
30928965178,EXECUTE,2409,US,BACKEND,ROOT,QNN accelerator (execute) time
30928965178,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
30928965178,EXECUTE,0,US,BACKEND,ROOT,Time for initial VTCM acquire
30928965178,EXECUTE,0,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
30928965178,EXECUTE,154618,CYCLES,BACKEND,ROOT,Accelerator (critical path execute) time (cycles)
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
30928965178,EXECUTE,1381,CYCLES,BACKEND,SUB-EVENT,OpId_0 (cycles)
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
30928965178,EXECUTE,143905,CYCLES,BACKEND,SUB-EVENT,conv:OpId_21 (cycles)
30928965178,EXECUTE,1536,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
30928965178,EXECUTE,98192,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,Output OpId_3 
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,conv:OpId_21 
30928965178,EXECUTE,792,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,Output OpId_3 
30928965178,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,conv:OpId_21 
30928965178,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
30928965178,EXECUTE,7796,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
30928965178,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
30928965178,EXECUTE,"HVX",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
30928965178,EXECUTE,554,US,BACKEND,ROOT,Accelerator (execute) time
30928965178,EXECUTE,3051,US,BACKEND,ROOT,QNN (execute) time
